,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,temposoma_medio,desvio_temposoma
10,entry_1141022.exe ,4.695808410644531,0.03661402872600104,424.25,2.165063509461097,424.375,2.341874249399399
20,entry_1151467.exe ,16.74151611328125,0.10290588433026664,1857.0,10.677078252031311,1856.625,10.86206126847018
21,entry_1419285.exe ,18.40753173828125,0.05815413384530918,1387.5,0.8660254037844386,1387.25,1.3919410907075054
11,entry_1435015.exe ,2.5261001586914062,0.07289433168283566,229.125,4.075460096725276,229.375,4.151430476353903
22,entry_2300031.exe ,8.140594482421875,0.04615379883308308,666.75,3.072051431861127,665.875,3.018174116912409
12,entry_2736242.exe ,4.589591979980469,0.033653921718818786,411.0,2.449489742783178,410.375,3.4977671449083054
13,entry_2847173.exe ,4.5661468505859375,0.029946900347036443,412.25,2.48746859276655,411.125,2.666341125962693
0,entry_2989503.exe ,0.959503173828125,0.13175585751817734,138.375,19.28041428496805,138.0,19.467922333931785
23,entry_3335545.exe ,88.6896743774414,0.19202961895755757,7484.25,4.293891009329417,7483.5,4.0
1,entry_3533048.exe ,0.39996337890625,0.0830919400420082,95.125,27.00665427260474,94.875,27.10828978375434
2,entry_3533171.exe ,0.505645751953125,0.05079888991106066,165.125,29.55265428011501,165.75,29.350255535514506
3,entry_360584.exe ,0.9809951782226562,0.06058352605099142,135.75,6.923691212063114,134.5,7.729812416870153
14,entry_3863251.exe ,8.359207153320312,0.030520015619209195,695.75,1.1989578808281798,694.75,2.165063509461097
4,entry_3919342.exe ,0.41210174560546875,0.077239727606114,71.25,19.778460506318485,70.75,19.5943231574862
5,entry_3919375.exe ,0.5625839233398438,0.030525571729894202,50.125,2.2603926650031405,49.75,2.1065374432940898
24,entry_3958612.exe ,19.841697692871094,0.05585482966913504,1765.75,2.277608394786075,1765.875,2.4206145913796355
25,entry_4231471.exe ,25.96021270751953,0.18959920559800247,2247.875,9.306415797717186,2247.25,8.656644846590392
26,entry_4609039.exe ,35.168212890625,0.1856339451130906,3344.75,6.279928343540235,3345.25,6.15934249737746
15,entry_4718203.exe ,6.433891296386719,0.027701329260669965,516.25,1.0897247358851685,515.875,1.165922381636102
6,entry_4793728.exe ,0.37734222412109375,0.043170907887777846,121.875,19.05542901642469,121.75,20.419047480232763
27,entry_4926369.exe ,36.717987060546875,0.09817173329388186,2972.75,9.692135987490063,2971.375,9.486009434952086
16,entry_5220552.exe ,8.594581604003906,0.01841436676278571,716.75,1.479019945774904,717.0,2.0
28,entry_5325308.exe ,28.138412475585938,0.06806802480899504,2294.75,1.920286436967152,2294.0,1.8708286933869707
7,entry_5714510.exe ,0.58056640625,0.10472488340791125,113.25,29.494702914252247,113.125,29.81374473292478
17,entry_5734036.exe ,4.494964599609375,0.029960429300427097,413.875,2.027159342528357,414.375,2.341874249399399
18,entry_5817743.exe ,6.435577392578125,0.02753257269177132,516.125,3.4072532926097527,515.5,3.3541019662496847
19,entry_5869113.exe ,8.619529724121094,0.03402248659212054,719.25,3.3819373146171707,719.375,3.6721077053920954
29,entry_5875596.exe ,14.588523864746094,0.0694790755402349,1223.25,2.1065374432940898,1223.875,2.1469455046647083
8,entry_5897680.exe ,0.5695419311523438,0.1366734120859258,134.5,35.73513677041127,134.125,35.75415185681238
9,entry_5963749.exe ,0.4880218505859375,0.04469345681212752,135.625,26.678350305069465,136.0,26.70205984563738
