,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,temposoma_medio,desvio_temposoma
10,entry_1141022.exe ,10.30950927734375,0.06498155526963247,587.5,13.592277219068187,586.0,12.98075498574717
20,entry_1151467.exe ,45.33030700683594,0.16446900511220244,2468.125,19.808063383380013,2466.625,19.454674888057113
21,entry_1419285.exe ,35.303205490112305,0.21547324436473989,1624.0,9.785192895390463,1621.5,10.161200716450788
11,entry_1435015.exe ,4.813333511352539,0.08821971296494535,299.375,15.68388902664132,298.875,16.189792308735772
22,entry_2300031.exe ,18.334457397460938,0.06675526163823188,926.375,7.482270711488592,927.25,7.545694136393285
12,entry_2736242.exe ,10.002069473266602,0.04289188129327605,573.625,7.140334375923861,572.5,6.98212002188447
13,entry_2847173.exe ,10.146844863891602,0.06936412390208305,557.0,13.313526955694348,556.75,12.813567028739499
0,entry_2989503.exe ,2.1532630920410156,0.021565056548107572,140.125,4.5397549493337195,140.0,4.949747468305833
23,entry_3335545.exe ,172.25948524475098,2.0152005542259097,8401.5,7.22841614740048,8400.5,8.440971508067067
1,entry_3533048.exe ,1.326202392578125,0.030127268593247797,79.75,2.1065374432940898,79.0,2.0
2,entry_3533171.exe ,1.8438091278076172,0.02078799377060568,112.875,2.0879116360612584,112.0,2.29128784747792
3,entry_360584.exe ,2.332509994506836,0.05698805492373827,146.75,6.339361166552983,146.625,6.263734908183775
14,entry_3863251.exe ,19.114131927490234,0.10824668571798807,999.625,5.072905971925756,999.0,6.0
4,entry_3919342.exe ,1.207345962524414,0.03615723887582746,69.125,2.368411915187052,68.625,2.54644359843292
5,entry_3919375.exe ,1.209482192993164,0.037793797335964364,72.75,5.238081709939241,70.625,4.688749833377763
24,entry_3958612.exe ,51.67788124084473,0.40503840438657523,2510.875,8.084514518510064,2508.625,7.77717011515114
25,entry_4231471.exe ,58.31847953796387,0.33471590288565173,2791.625,14.619657143722625,2789.875,15.727662731633076
26,entry_4609039.exe ,65.07438850402832,0.2902179031216651,3131.5,24.06241883103193,3132.875,23.66134770041639
15,entry_4718203.exe ,14.247110366821289,0.48614100234493585,754.375,8.659351881058997,753.625,7.857122564908861
6,entry_4793728.exe ,1.4251861572265625,0.019125292802069916,79.625,1.9324531042175384,79.0,1.5811388300841898
27,entry_4926369.exe ,88.80418586730957,1.0234180148524483,3982.75,40.67785023818245,3980.25,40.877102392415246
16,entry_5220552.exe ,19.924726486206055,0.056462705960339664,1030.125,12.742031823849759,1029.875,13.052178936867207
28,entry_5325308.exe ,51.2557373046875,0.11993736743066946,2370.5,8.631338250816034,2368.875,7.639330795298761
7,entry_5714510.exe ,2.0912513732910156,0.036824658584241714,111.5,5.634713834792322,110.75,5.80409338312195
17,entry_5734036.exe ,10.053583145141602,0.09345350341602728,566.875,9.942805187672139,566.125,9.373333185158842
18,entry_5817743.exe ,14.177547454833984,0.09952950160484972,753.875,9.610378504512713,753.25,9.48353836919533
19,entry_5869113.exe ,20.07523536682129,0.09090848967603982,1022.0,6.59545297913646,1020.875,7.355907489902249
29,entry_5875596.exe ,41.267879486083984,0.12619426189097982,1964.375,12.638606529202498,1963.5,13.152946437965905
8,entry_5897680.exe ,1.9208698272705078,0.044019389923132535,115.875,3.6550478793033614,115.25,4.175823272122517
9,entry_5963749.exe ,1.6952037811279297,0.03391990064012736,86.375,3.6033838263498934,86.125,4.136348026943574
