,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo,temposoma_medio,desvio_temposoma
1,entry_4624174.exe ,4.459041595458984,0.08699606349955218,238.25,9.705024471890836,237.25,9.350802104632521
2,entry_4626876.exe ,4.472105026245117,0.09287841731067505,241.25,10.871407452579449,240.375,10.850547221223453
4,entry_4902862.exe ,4.442811965942383,0.052779933247166656,254.25,6.514407110397691,254.0,6.123724356957945
3,entry_4626923.exe ,4.3557891845703125,0.05617266732915143,259.375,7.598313957714566,258.875,7.975548570474635
0,entry_4213612.exe ,7.133155822753906,0.10031411126633094,374.625,9.406613365074595,370.25,8.870597499605086
6,entry_5417825.exe ,7.213253021240234,0.1138688541456211,376.375,9.245776062613674,375.125,9.333240326917549
9,entry_5750690.exe ,7.177766799926758,0.06755879537671206,376.75,4.841229182759271,376.5,4.924428900898052
8,entry_5633970.exe ,7.126825332641602,0.12851923992953546,382.625,16.108518709055776,381.625,16.061892011839703
5,entry_5369563.exe ,7.198925018310547,0.06069670189513513,385.375,3.838538133196022,385.125,4.5397549493337195
7,entry_5566850.exe ,7.124143600463867,0.06171155943015446,385.75,7.562241731127087,385.125,8.608680212436747
16,entry_5981388.exe ,15.92833137512207,0.06528528911938314,793.75,8.584142356694699,792.875,8.53577032258952
17,entry_5981843.exe ,17.735393524169922,0.27156120252977484,827.375,8.214887400323878,827.25,8.99652710772329
18,entry_5982098.exe ,21.712953567504883,0.10240537762783211,1053.25,7.660776723022281,1052.875,8.252840420122032
15,entry_5980820.exe ,54.77064895629883,0.12326054946122125,2459.625,5.406882188470542,2459.875,5.109733358992424
14,entry_5980769.exe ,60.85018348693848,0.10746348126307342,2758.25,7.838207703295441,2758.875,7.338894671542848
13,entry_5980254.exe ,64.51181602478027,0.17753580942335137,2855.375,6.537153432496441,2855.625,5.6995065575889985
19,entry_5982622.exe ,65.16594314575195,0.2638265747274815,2864.625,5.0974871260259205,2863.5,5.5901699437494745
10,entry_5977378.exe ,64.34970092773438,0.17262219999063166,2871.625,6.223694642252301,2871.375,6.927075501248705
12,entry_5978296.exe ,69.63548851013184,0.11432645157809605,3027.125,7.0787975673838845,3026.25,7.46240577829965
21,entry_1692100.exe ,95.24455833435059,0.5525650943669532,4275.625,24.279299310317832,4276.125,23.95014352775365
11,entry_5977756.exe ,110.9690990447998,0.6911890950116497,4995.75,22.79117153636469,4996.375,22.90708132870707
22,entry_2347742.exe ,115.30534553527832,0.15897388963292675,5224.5,5.766281297335398,5223.0,5.612486080160912
29,entry_708774.exe ,117.30040550231934,0.2430437317552584,5350.125,4.284784125250653,5349.375,4.29934588047996
25,entry_3151832.exe ,121.26652336120605,0.5776998754845016,5477.75,28.14138411663506,5478.25,27.720705257983607
23,entry_2621650.exe ,119.90328788757324,0.4214850457172638,5493.0,18.418740456393863,5494.125,19.579565240321347
24,entry_3091834.exe ,119.53516578674316,0.46141856436014583,5493.0,16.492422502470642,5493.0,16.47725705328408
20,entry_1417702.exe ,121.10211181640625,0.46613033604844734,5554.375,17.556604882493655,5554.0,18.0
27,entry_3893916.exe ,121.71241188049316,1.6308023146883768,5609.0,93.60021367496978,5608.5,93.43045542006097
28,entry_432567.exe ,123.53304862976074,0.679447509517766,5655.0,31.232995373482833,5655.0,31.240998703626616
26,entry_3636563.exe ,124.78914260864258,0.8767583763535799,5819.375,35.38339123091511,5819.75,34.913285436922145
