,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo
1,entry_4726067.exe ,1.0834274291992188,0.015470137795775761,103.912125,0.8390973479728066
5,entry_5852895.exe ,1.0776290893554688,0.02246044899575122,104.4465,0.9899652771688499
3,entry_289029.exe ,2.160003662109375,0.013091222919788323,196.61525,0.6141416265813564
8,entry_1394267.exe ,2.1926422119140625,0.007640662455515727,198.72387500000002,0.9401085625474301
4,entry_1802196.exe ,2.38177490234375,0.01759771738666241,214.028125,1.2038197993782143
6,entry_228699.exe ,2.3905792236328125,0.01633966962952738,215.081125,1.0844417270536029
2,entry_342283.exe ,2.50164794921875,0.016596709271298266,217.206375,0.8432921998779481
0,entry_416157.exe ,2.4181289672851562,0.015023203870168778,218.42025,0.42398636475716817
9,entry_1220441.exe ,2.4379196166992188,0.012375599925925499,225.649,0.5908811217156926
7,entry_2061168.exe ,2.5188217163085938,0.010173616668728496,230.18125,0.2881474232055512
12,entry_5987243.exe ,4.069267272949219,0.016725538312294373,344.644,0.9704358556854763
10,entry_5981368.exe ,4.456451416015625,0.015388214532529658,385.7935,0.6427649259254897
19,entry_5975913.exe ,4.950920104980469,0.016869415994582658,421.239125,1.1777874848099783
18,entry_5979286.exe ,5.007225036621094,0.02372454536944701,443.56237500000003,1.2760587699534098
14,entry_5979571.exe ,5.042854309082031,0.03300268931244173,444.45574999999997,1.8982728169312224
15,entry_5976780.exe ,5.5614471435546875,0.02565469875100789,489.518375,1.471363647904554
11,entry_5990492.exe ,9.064506530761719,0.046975618272010564,761.4215,2.438125355678008
17,entry_5978424.exe ,9.599197387695312,0.05896793532693208,791.711625,3.304402855944631
16,entry_5976816.exe ,9.554519653320312,0.03686255325268747,793.473,2.8683274743306595
13,entry_5980827.exe ,10.208595275878906,0.060560355204797675,862.4717499999999,4.612471239747732
25,entry_5588483.exe ,26.314659118652344,0.17540945878440833,2831.07625,18.186817298183342
27,entry_1267136.exe ,27.870582580566406,0.15245627544417575,2833.8975,6.591640065264546
24,entry_1262541.exe ,26.50579071044922,0.1158875021128486,2852.8137500000003,14.161655921448643
26,entry_1262542.exe ,28.61193084716797,0.11042910964294778,2859.6237499999997,6.857337197301935
23,entry_4745082.exe ,26.54840850830078,0.08173571117409875,2865.4700000000003,6.4984575092864
29,entry_5359049.exe ,28.956077575683594,0.06408880276394661,2871.6749999999997,4.258694048649252
21,entry_3965735.exe ,28.514144897460938,0.08177083408630048,2872.35375,2.3968152697903142
28,entry_1587234.exe ,28.858543395996094,0.17705791230077694,2875.43375,8.950896515852413
20,entry_4477588.exe ,32.28167724609375,0.06687997395075529,2965.9362499999997,3.517051099643023
22,entry_4989563.exe ,32.331634521484375,0.1599787944333046,3246.1862499999997,9.353055566899041
