,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo
0,entry_1045291.exe ,1.0328292846679688,0.04138845486440252,57.859625,6.330577717268386
20,entry_1078006.exe ,53.318708419799805,0.4192608050553764,2731.0412499999998,6.17513043890574
10,entry_190239.exe ,9.974288940429688,0.15216077382999957,538.3498749999999,9.93016505952318
21,entry_2067730.exe ,52.08584403991699,0.41027951449185857,2526.54875,26.862360487073815
1,entry_2329955.exe ,0.7261638641357422,0.019233537826065683,34.48525,1.1118559652670843
22,entry_2496750.exe ,175.7834072113037,1.0050881740014954,8513.556250000001,33.207095227337916
2,entry_2501590.exe ,3.245431900024414,0.07235682415302647,207.444375,6.161149221888311
3,entry_2628732.exe ,1.0462512969970703,0.027502171977649814,53.4085,2.565285169333031
23,entry_2924685.exe ,46.946393966674805,0.4775552816014456,2278.7925000000005,40.69747036057644
4,entry_2940662.exe ,1.0085487365722656,0.035232902242524636,54.772875,4.579557932745802
24,entry_3142915.exe ,41.564735412597656,0.16612468618798934,2090.0424999999996,7.82342915542787
11,entry_3244021.exe ,30.5174503326416,0.28063691484861913,1519.8137499999998,31.501173366043073
25,entry_3337691.exe ,50.09256553649902,0.43525247937221107,2425.17375,24.33216027066853
5,entry_3390804.exe ,1.6451988220214844,0.04669590462188066,90.292625,5.229091650026322
6,entry_4036141.exe ,1.0986194610595703,0.044849870883170176,58.19200000000001,5.383828307997946
12,entry_4058774.exe ,15.65211296081543,0.14119745924028965,824.413125,8.790279012032288
13,entry_4130721.exe ,10.064542770385742,0.13908067667949167,541.040375,15.146161666718564
26,entry_4176340.exe ,29.674907684326172,0.16311370800013963,1520.79125,7.95125216160952
14,entry_4303820.exe ,36.13190269470215,0.3290010378809576,1875.69625,10.860862002506963
7,entry_5337349.exe ,2.4463768005371094,0.12251111164917691,151.819875,11.59773831871434
15,entry_563158.exe ,49.19972229003906,0.13511448346437716,2517.4224999999997,5.857923586903482
27,entry_5764548.exe ,40.90830421447754,0.12836082780400235,2087.04625,12.619385818553155
16,entry_5806046.exe ,28.613420486450195,0.2013228165325888,1292.4125,14.894090900420904
8,entry_5832348.exe ,1.1082611083984375,0.04255163600237874,59.58875,5.726394257078357
17,entry_5861297.exe ,10.53326416015625,0.12667594784019845,555.4572499999999,12.437278035707836
28,entry_5943385.exe ,41.63706970214844,0.28944121301196635,2098.2,17.673366968407628
29,entry_682938.exe ,124.65971565246582,0.816373297571512,6140.946250000001,35.85090721916942
18,entry_713282.exe ,42.87856483459473,0.36077868960124054,2152.8,26.22524690064901
9,entry_719904.exe ,1.2016468048095703,0.025907298965288043,65.58699999999999,3.8077335450369953
19,entry_835034.exe ,40.12956619262695,0.11691470226847828,2006.1225,10.854221241065614
