,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo
20,entry_1114874.exe ,22.38936996459961,0.2518372171776392,1048.1637500000002,8.65450018415276
10,entry_1346798.exe ,7.557439804077148,0.12902600218132765,365.82275,11.065177650516965
21,entry_215794.exe ,52.16567039489746,0.35041474776891823,2434.8187500000004,15.62668505913841
22,entry_2353858.exe ,78.20310401916504,0.3810708527843778,3490.075,9.863033255545718
0,entry_239948.exe ,1.1801815032958984,0.06610874276729597,69.30025,5.556929834674896
11,entry_2595975.exe ,1.9928817749023438,0.02877898735634593,112.918875,5.168997277942309
1,entry_286425.exe ,0.87646484375,0.02108473833625708,43.48975,3.2444537579537176
2,entry_2993426.exe ,1.1272907257080078,0.014986336068961712,51.05199999999999,1.3857175036781497
12,entry_3144096.exe ,19.204702377319336,0.10571662842744856,915.460625,6.688120998036397
3,entry_3576015.exe ,0.6648387908935547,0.015245230253468502,33.21025,2.7770016992252637
4,entry_3577829.exe ,0.6857528686523438,0.01179513770852071,31.5325,1.3461596302073544
23,entry_3638005.exe ,89.41653633117676,0.24700236498606926,4128.368750000001,4.962855623277719
24,entry_3841535.exe ,55.95553398132324,0.3040669455052633,2553.52625,10.703917434168652
25,entry_3844007.exe ,149.33661651611328,1.078507626289305,6407.10125,5.00367973970157
13,entry_4091019.exe ,2.0853118896484375,0.03536778214258954,117.106875,4.4934527770273744
14,entry_4259947.exe ,7.579351425170898,0.17254750601529023,356.9655,10.130854813390632
5,entry_4272561.exe ,0.6717529296875,0.018021374395561385,32.211875,2.6707277302965573
26,entry_4464596.exe ,92.38522720336914,0.349147803757864,4095.6375000000003,27.586771172973535
6,entry_4910057.exe ,1.3153800964355469,0.053448839933535365,72.35575,4.39351931115592
15,entry_5023680.exe ,2.447071075439453,0.04640947696530248,138.009875,4.338039489144261
16,entry_5118662.exe ,2.098743438720703,0.05454100831982866,119.85925,5.092650801645444
27,entry_5133407.exe ,14.36515998840332,0.1438085429365047,664.090375,13.519512989911115
7,entry_5513611.exe ,2.4049835205078125,0.038549515654849584,118.668875,1.219688734626582
28,entry_5551567.exe ,27.551910400390625,0.08459125032755126,1249.7912499999998,15.552040410746779
8,entry_5724577.exe ,1.1476898193359375,0.05690522654765602,62.924499999999995,3.978781974423833
17,entry_5784842.exe ,2.296590805053711,0.06686190386268004,119.505875,8.085571245086832
18,entry_5981411.exe ,2.157930374145508,0.08037025221111602,119.178625,7.135967347485201
29,entry_650248.exe ,106.52456855773924,0.22998219100614858,4914.7775,11.78049420652636
9,entry_679751.exe ,1.5010013580322266,0.03280926087538587,74.797625,3.921295925376584
19,entry_811745.exe ,7.365169525146484,0.13457521101944017,352.413125,9.483960860809946
