,nome,consumo_medio,desvio_consumo,tempo_medio,desvio_tempo
8,entry_312988.exe ,1.1597442626953125,0.004432172631534182,117.15475,0.06383915334651663
6,entry_3159880.exe ,1.33172607421875,0.020881138531473845,138.218375,0.5248809239961014
0,entry_178890.exe ,1.5018310546875,0.0037671598575041466,151.195875,0.18120805549147131
4,entry_5557545.exe ,1.85626220703125,0.006440582851992001,190.398375,0.41635349689296597
9,entry_5023803.exe ,1.9065628051757812,0.006287690414297881,198.736625,0.26913562449999395
3,entry_5011724.exe ,1.9644927978515625,0.011074717256470577,201.84675,0.08061443729258137
1,entry_5023472.exe ,1.948516845703125,0.010827634998480521,202.29562499999997,0.411394864303141
7,entry_5054856.exe ,1.9246978759765625,0.004843337710584615,202.315125,0.3414749029943467
5,entry_5053014.exe ,1.9547042846679688,0.007681489470862057,203.20774999999998,0.619161075569192
2,entry_3753826.exe ,2.5727920532226562,0.011584986262296607,255.047375,0.3357487667512736
16,entry_5647218.exe ,3.3740768432617188,0.015245521499362962,335.423,0.6318498634960722
10,entry_2167825.exe ,3.7806854248046875,0.015663955229108892,386.786875,0.4901664098803505
17,entry_3163004.exe ,6.737892150878906,0.029066978897461616,683.48125,0.18765177190743065
13,entry_2279764.exe ,6.802330017089844,0.008429921679695402,700.308,0.18592874979411503
14,entry_684443.exe ,8.980369567871094,0.05451309918463659,902.8957499999999,0.4450195922653388
19,entry_1318308.exe ,10.240959167480469,0.026241913311594277,1055.74375,0.7299133082085791
15,entry_2513196.exe ,15.999015808105469,0.05003397127939933,1605.3950000000002,0.4256171989006239
11,entry_1340102.exe ,18.266937255859375,0.11984894038129952,1869.56,0.6454068484297618
22,entry_735506.exe ,30.592132568359375,0.28693442463924906,3298.29875,7.881951594465619
18,entry_396083.exe ,36.34528350830078,0.10538944352195008,3589.96375,0.7136865120625854
20,entry_216330.exe ,39.693084716796875,0.14681703623445835,3854.57875,1.3907591227455254
24,entry_3108893.exe ,39.00848388671875,0.22970133645687565,3950.7837500000005,14.625822145694944
21,entry_1701623.exe ,50.323997497558594,0.1832131487210309,4879.584999999999,1.2963602894258082
26,entry_4823891.exe ,68.29975891113281,0.25931335592447563,6570.795,1.8383620426890799
25,entry_1934355.exe ,68.82251739501953,0.5925283360778004,6714.348750000001,2.4895152012992106
27,entry_3043434.exe ,69.7771987915039,0.18891737077310283,6722.70125,1.6153748597461322
29,entry_5287040.exe ,69.40280151367188,0.21179817476510482,7153.4025,2.5363199226436683
23,entry_2089087.exe ,75.5037841796875,0.23212595942981493,7327.442499999999,1.5899587258793497
12,entry_2708553.exe ,93.09270477294922,0.4333896644643601,9595.14875,1.8517858778758949
28,entry_1288610.exe ,137.0937271118164,0.42899931823086346,14040.5375,2.410361746709096
